OBJECTID;objektType;nveNetbasID;Plassering;nveNettnivaa;eier;eierOrgnr;navn;spenning_kV;longitude;latitude
844;Transformatorstasjon;;;1;STATNETT SF;962986633;Haugsvær;;5.527142526559735;60.88926497714842
58;Transformatorstasjon;52.HOLEN;52 HOLEN;;LINJA AS;;HOLEN TRANSFORMATORSTASJON;132;6.367617493476154;62.47229373366955
674;Transformatorstasjon;;;1;STATNETT SF;962986633;Hove;;6.595460159781799;61.06980961364757
953;Transformatorstasjon;;;2;BKK AS;976944801;Høyanger;66.0;6.068373954787981;61.22044729319935
729;Transformatorstasjon;;;1;STATNETT SF;962986633;Høyanger;;6.151648331818949;61.2442706937049
46;Transformatorstasjon;HAHE 132TRST;03 HÅHEIM;;LINJA AS;;HÅHEIM TRAFOSTASJON;132;5.848488019057752;62.26316047379807
949;Transformatorstasjon;;;2;BKK AS;976944801;Hålandsfossen;132.0;5.4127787276462875;61.33038770094763
244;EL_Transformatorstasjon;;;3;SUNNFJORD ENERGI AS;916501420;HÅLANDSFOSSEN;0.0;5.4140168100870065;61.33068603808204
855;Transformatorstasjon;;;1;STATNETT SF;962986633;Iledalsvågen;;5.1371694723590675;60.84031618102914
894;Transformatorstasjon;;;1;STATNETT SF;962986633;Jostedal;;7.287115162793281;61.52616462094709
59;Transformatorstasjon;54.KJELBOTN;54 KJELBOTN;;LINJA AS;;KJELBOTN TRANSFORMATORSTASJON;132;7.102180319792811;62.57345653915169
896;Transformatorstasjon;;;1;STATNETT SF;962986633;Leirdøla;;7.245854291850852;61.43810034545789
37;Transformatorstasjon;LEIV 132TRST;LEIVDAL;;SOGN OG FJORDANE ENERGIVERK AS;;LEIVDAL TRAFOSTASJON;132;6.1256272139476735;61.93337266405921
950;Transformatorstasjon;;;2;BKK AS;976944801;Lutelandet;132.0;4.972578687743714;61.25763645626157
77;EL_Transformatorstasjon;77527.0;NVE NetBAS;1;LINJA AS;984882114;MEL;;6.55600512080117;61.346755527342424
804;Transformatorstasjon;;;1;STATNETT SF;962986633;Modalen;;6.011916598576386;60.88825309160812
854;Transformatorstasjon;;;1;STATNETT SF;962986633;Mongstad;;5.053739457166546;60.802890048805345
